_ID	KIND	EXPERIMENTER	CHILD
1	12	This is what the Puzzle is going to look like when we're all done. Ok?	
1	12		The puzzle look like this?
1	12	It's going to look like this. Yeah	
1	12		Are those all the puzzle pieces
1	12	Yeah. These are the puzzle pieces.	
1	12	So we are going to play a game with the puzzle	
1	12		### Like this
1	12	Mmhm. 	
1	12	Ok. And see I stacked the pieces	These are
1	12	But in this game, I'm going to put the pieces in but you 're going to tell me where to put them. Ok? 	
1	12	So I'm only going to do what you tell me to do. 	
1	12	So be sure to to use your words to tell me where the pieces go. 	
1	12	Where does…	
1	12	Remember I'm going to put them in. You tell me where to put them. Ok?	
1	12	What should I do with this piece?	
1	12	You gotta use your words	
1	12		Put it right here!
1	12	Like this? Does that look right?	
1	12		Yeah
1	12	Ok. What should I do with this piece?	
1	12	Use your words	
1	12		Mmhmm
1	12	Can you use your words to tell me what I should do with this piece?	
1	12		hmm
1	12	Like This?	
1	12	Does that look right?	
1	12	What should I do to fix it?	
1	12	Like This?	
1	12	Does that look right?	
1	12		Yeah
1	12	Ok. What should I do with this piece?	
1	12	Remember to use your words to tell me what to do. 	
1	12	Like This?	
1	12	No? What should I do to fix it?	
1	12	You sure? Tell me what to do?	
1	12		At the bottom
1	12	Like This?	
1	12		Yeah
1	12	How did you know that would go there?	
1	12		It's by horse
1	12	I see. What should I do with this piece?	
1	12	Like this?	
1	12	No? What should I do to fix it?	
1	12	Use your words	
1	12		Turn it!
1	12	Like this?	
1	12		Yeah!
1	12	Does that look right?	
1	12	Ok.	
1	12	Do I need to fix that one?	
1	12		Yeah
1	12	What do I need to do to fix that one?	
1	12		Should put it right here
1	12	What do I need to do?	
1	12		It's a butterfly
1	12	Yeah. What do I need to do with this piece to fix it? 	
1	12		To put it right here!
1	12	Like This?	
1	12		Let's find another piece, fit right here
1	12	What should I do with this piece?	
1	12	Like This?	
1	12		Yeah
1	12	How did you figure out that one would go there?	
1	12		It's the Tail
1	12	It's the tail	
1	12	Ok. What should I do with this piece?	
1	12	Like This?	
1	12	No? What should I do with it?	
1	12		Mm. Make a ### shirt. 
1	12	Penny, can you tell me what I should do with this piece?	
1	12		Hmmm. Turn it!
1	12	Like This?	
1	12		Yeah!
1	12		No. That
1	12	What should I do with it. 	
1	12		Turn it!
1	12	Like this?	
1	12		No.
1	12	Like this?	
1	12		Yeah!
1	12	Like that?	
1	12		No.
1	12	No.	
1	12		No.
1	12	What should I do with it. 	
1	12		Turn it!
1	12	Like this?	
1	12		Yeah!
1	12	Ok. 	
1	12	Ok . What should I do with this piece? 	
1	12		Put it on the , ah, horse. 
1	12	Like this?	
1	12		No. 
1	12	No? What should I do with it?	
1	12		Turn it.
1	12	Like this?	
1	12		Yes. Oops
1	12	What should I do with this piece?	
1	12		Put it right here!
1	12	Like this?	
1	12		Yes.
1	12	Like that?	
1	12		Mmhmm
1	12	Ok. 	
1	12		No. 
1	12	No? Not like that? What should I do to fix it?	
1	12		Hmm. Turn it!
1	12	Like this?	
1	12		Yeah.
1	12	Is that how it goes?	
1	12	Ok.	
1	12	Where should I put this one?	
1	12		A Cow. 
1	12	A cow. 	
1	12	What should I do with this one?	
1	12		You put it with the other cow's body
1	12	Where's that?	
1	12		It looks pretty good.
1	12	Yeah?	
1	12		What's that on the cow?
1	12	That's the udder.	
1	12		The udder.
1	12	That's where the milk comes from.	
1	12		Oh. The milk?
1	12	Mmhmm.	
1	12		And you squeeze the udder?
1	12	Mmhmm.	
1	12		Like this?
1	12	Mmhmm. Yup. You knew. 	
1	12		I ### udders. But ### udders these
1	12	Mmhmm.	
1	12		And what's that?
1	12	I don't know. We'll have to see when we're done. 	
1	12	But what should I do with this piece?	
1	12		To put it on the cow!
1	12		What's that?
1	12	That's the udder.	
1	12		The udder? What's an udder. Does it come from milk? And you squeeze it?
1	12	Mmhmm.	
1	12	Can you… Penny, Where should I put this piece?	
1	12		On the Cow
1	12	Can you show me where on the puzzle?	
1	12	Well hang on. Do you want to wait? Do you wanna do the next piece first?	
1	12		Yes
1	12	Ok. Let's do this piece.	
1	12	Where does this piece go?	
1	12		Mmm
1	12	Like this?	
1	12		Yes
1	12	Does that look right?	
1	12		No. 
1	12	No? What should I do to fix it?	
1	12		To know how it fit
1	12	What should I do with it?	
1	12		You have to turn it. Turn around.
1	12	Like this?	
1	12		No.
1	12	No? Like this?	
1	12		No.
1	12	Like this?	
1	12		Mmm no.
1	12	What should I do with it?	
1	12		Turn it.
1	12	Like this?	
1	12		Yeah!
1	12	Does that look right?	
1	12		Yeah!
1	12	Ok. Now what should I do with this piece?	
1	12		To put it on the cow! But where the cow?
